model,manufacturer,type,cylinders,size,drive
malibu,chevrolet,sedan,4 cylinders,mid-size,fwd
cts-v,cadillac,sedan,8 cylinders,mid-size,rwd
328i,bmw,sedan,4 cylinders,mid-size,rwd
odyssey,honda,mini-van,6 cylinders,full-size,fwd
super duty f-350 drw,ford,truck,8 cylinders,full-size,4wd
f-350 sd,ford,truck,8 cylinders,full-size,4wd
camry,toyota,sedan,4 cylinders,full-size,fwd
malibu,chevrolet,sedan,4 cylinders,full-size,fwd
town & country,chrysler,mini-van,6 cylinders,full-size,fwd
sorento,kia,SUV,6 cylinders,full-size,4wd
cube sl,nissan,sedan,4 cylinders,full-size,fwd
tacoma 4x4,toyota,truck,6 cylinders,mid-size,4wd
focus,ford,sedan,4 cylinders,compact,fwd
2500,ram,truck,8 cylinders,full-size,4wd
accord se,honda,sedan,4 cylinders,full-size,fwd
gla 250 4matic,mercedes-benz,SUV,4 cylinders,compact,4wd
silverado 1500,chevrolet,truck,8 cylinders,full-size,rwd
sierra 1500 sle,gmc,truck,8 cylinders,full-size,rwd
c/v tradesman cargo,ram,mini-van,6 cylinders,full-size,fwd
super duty f-250 srw,ford,pickup,8 cylinders,full-size,4wd
tiguan,volkswagen,SUV,4 cylinders,full-size,rwd
f-150,ford,pickup,6 cylinders,full-size,rwd
200,chrysler,sedan,4 cylinders,mid-size,fwd
1500,ram,pickup,8 cylinders,full-size,4wd
fusion se,ford,sedan,4 cylinders,mid-size,fwd
camry,toyota,sedan,4 cylinders,mid-size,fwd
transit 250 van,ford,van,6 cylinders,full-size,rwd
i35,infiniti,sedan,6 cylinders,full-size,fwd
sonic,chevrolet,wagon,4 cylinders,compact,fwd
e150,ford,van,6 cylinders,full-size,rwd
e-class,mercedes-benz,sedan,10 cylinders,compact,4wd
e350,ford,van,8 cylinders,full-size,rwd
g3500 15' box,chevrolet,truck,8 cylinders,full-size,rwd
cr-v,honda,SUV,4 cylinders,full-size,4wd
is,lexus,sedan,10 cylinders,compact,4wd
land cruiser landcruiser,toyota,SUV,6 cylinders,full-size,4wd
cr-v,honda,SUV,4 cylinders,mid-size,4wd
5,mazda,mini-van,4 cylinders,mid-size,fwd
qx70,infiniti,SUV,6 cylinders,full-size,4wd
legacy,subaru,wagon,4 cylinders,compact,4wd
grand cherokee,jeep,SUV,8 cylinders,full-size,4wd
fusion sel,ford,sedan,4 cylinders,full-size,fwd
mazda3 5-door,mazda,hatchback,4 cylinders,compact,fwd
tiguan,volkswagen,SUV,4 cylinders,full-size,4wd
rav4 sport,toyota,SUV,6 cylinders,mid-size,4wd
highlander hybrid limited,toyota,SUV,6 cylinders,full-size,4wd
econoline,ford,truck,10 cylinders,full-size,rwd
civic sedan,honda,sedan,4 cylinders,compact,fwd
benz ml350,mercedes-benz,SUV,6 cylinders,mid-size,rwd
beetle,volkswagen,hatchback,4 cylinders,compact,fwd
wrangler,jeep,SUV,6 cylinders,full-size,4wd
f-150,ford,SUV,8 cylinders,full-size,4wd
colorado,chevrolet,truck,6 cylinders,full-size,4wd
silverado 2500hd,chevrolet,truck,8 cylinders,full-size,4wd
f-150,ford,pickup,8 cylinders,full-size,rwd
crv,honda,SUV,4 cylinders,mid-size,4wd
wrangler unlimited,jeep,SUV,6 cylinders,mid-size,4wd
f-150 xl,ford,pickup,8 cylinders,full-size,4wd
jetta 1.8t turbo,volkswagen,sedan,4 cylinders,mid-size,fwd
e-350 xl super duty,ford,truck,8 cylinders,full-size,rwd
tundra,toyota,truck,8 cylinders,full-size,rwd
sorento,kia,SUV,4 cylinders,mid-size,fwd
g6,pontiac,other,4 cylinders,full-size,fwd
f450,ford,truck,8 cylinders,full-size,rwd
cobalt lt,chevrolet,sedan,4 cylinders,compact,fwd
genesis,hyundai,sedan,8 cylinders,full-size,rwd
tahoe lt,chevrolet,SUV,8 cylinders,full-size,4wd
pilot ex-l,honda,SUV,6 cylinders,full-size,4wd
q5,audi,SUV,6 cylinders,full-size,4wd
accent,hyundai,sedan,4 cylinders,full-size,fwd
gle,mercedes-benz,SUV,6 cylinders,mid-size,4wd
cr-v,honda,SUV,4 cylinders,compact,4wd
xf,jaguar,sedan,6 cylinders,mid-size,4wd
4runner,toyota,SUV,6 cylinders,full-size,rwd
caravan,dodge,mini-van,6 cylinders,full-size,fwd
explorer,ford,SUV,8 cylinders,full-size,4wd
c4500 kodiak,chevrolet,truck,8 cylinders,full-size,rwd
silverado 2500hd,chevrolet,pickup,8 cylinders,full-size,4wd
xterra,nissan,SUV,6 cylinders,mid-size,4wd
grand cherokee larado,jeep,SUV,6 cylinders,mid-size,rwd
f-150,ford,pickup,6 cylinders,full-size,4wd
corolla,toyota,sedan,4 cylinders,compact,4wd
wrangler,jeep,SUV,6 cylinders,mid-size,4wd
sierra 1500,gmc,truck,8 cylinders,full-size,4wd
"yaris -- 46, k miles",toyota,sedan,4 cylinders,mid-size,fwd
a8,audi,sedan,8 cylinders,full-size,4wd
wrangler unlimited,jeep,SUV,6 cylinders,full-size,4wd
sierra 2500hd,gmc,pickup,8 cylinders,full-size,4wd
mdx,acura,SUV,6 cylinders,full-size,4wd
silverado 1500,chevrolet,truck,8 cylinders,full-size,4wd
yukon,gmc,SUV,8 cylinders,full-size,4wd
grand marquis,mercury,sedan,8 cylinders,full-size,rwd
cooper hardtop,mini,hatchback,4 cylinders,compact,fwd
express 2500,chevrolet,van,8 cylinders,full-size,rwd
2500,ram,truck,6 cylinders,full-size,4wd
f150 xlt 4x4,ford,truck,8 cylinders,full-size,4wd
corolla,toyota,sedan,4 cylinders,compact,rwd
cruze,chevrolet,sedan,4 cylinders,mid-size,fwd
golf r,volkswagen,hatchback,4 cylinders,compact,4wd
explorer sport trac xlt,ford,pickup,6 cylinders,mid-size,4wd
lightning svt,ford,pickup,8 cylinders,compact,rwd
edge,ford,sedan,6 cylinders,full-size,4wd
charger,dodge,sedan,10 cylinders,compact,4wd
s2000,honda,convertible,4 cylinders,compact,rwd
explorer awd,ford,SUV,6 cylinders,full-size,4wd
passat,volkswagen,sedan,5 cylinders,full-size,fwd
500 pop,fiat,hatchback,4 cylinders,sub-compact,fwd
yukon xl denali,gmc,SUV,8 cylinders,full-size,4wd
q7,audi,SUV,6 cylinders,full-size,4wd
nitro heat 4x4,dodge,SUV,6 cylinders,full-size,4wd
a4,audi,wagon,4 cylinders,mid-size,4wd
cr-v,honda,SUV,4 cylinders,mid-size,fwd
f-150,ford,truck,8 cylinders,full-size,rwd
yukon slt,gmc,SUV,8 cylinders,full-size,4wd
vanagon wolfsburg camper,volkswagen,van,4 cylinders,mid-size,rwd
santa fe sport,hyundai,SUV,4 cylinders,compact,fwd
f-150,ford,pickup,8 cylinders,full-size,4wd
forester,subaru,SUV,4 cylinders,mid-size,4wd
mustang fastback,ford,hatchback,6 cylinders,mid-size,rwd
accord ex,honda,sedan,4 cylinders,full-size,fwd
town/country,chrysler,van,6 cylinders,compact,fwd
f150,ford,truck,8 cylinders,mid-size,rwd
2500,chevrolet,pickup,8 cylinders,full-size,rwd
sonic lt sedan,chevrolet,sedan,4 cylinders,full-size,fwd
odyssey exl,honda,mini-van,6 cylinders,mid-size,fwd
gs,lexus,sedan,6 cylinders,compact,4wd
rav4 awd,toyota,SUV,4 cylinders,compact,4wd
corolla s,toyota,sedan,4 cylinders,mid-size,fwd
explorer,ford,SUV,6 cylinders,mid-size,fwd
sentra,nissan,sedan,4 cylinders,compact,fwd
e 350 sd 15 pass van,ford,van,8 cylinders,full-size,rwd
accord,honda,sedan,6 cylinders,mid-size,fwd
m4,bmw,convertible,6 cylinders,compact,rwd
accord,honda,coupe,4 cylinders,compact,fwd
1500,ram,van,6 cylinders,full-size,rwd
passat,volkswagen,sedan,4 cylinders,mid-size,fwd
lacrosse cxl 4dr sedan,buick,sedan,6 cylinders,full-size,fwd
f-150,ford,truck,8 cylinders,full-size,4wd
traverse,chevrolet,SUV,6 cylinders,full-size,rwd
traverse lt,chevrolet,SUV,6 cylinders,full-size,fwd
altima,nissan,sedan,4 cylinders,mid-size,fwd
f-250,ford,truck,10 cylinders,full-size,rwd
titan,nissan,pickup,8 cylinders,full-size,4wd
taurus sel,ford,sedan,6 cylinders,full-size,fwd
grand caravan,dodge,van,6 cylinders,full-size,fwd
thunderbird convertible,ford,convertible,8 cylinders,compact,rwd
malibu ls,chevrolet,sedan,4 cylinders,full-size,fwd
altima 2.5s,nissan,sedan,4 cylinders,full-size,fwd
benz e350 4matic,mercedes-benz,sedan,6 cylinders,full-size,4wd
1500,ram,truck,8 cylinders,mid-size,4wd
f150,ford,pickup,8 cylinders,full-size,rwd
grand marquis ls,mercury,sedan,8 cylinders,full-size,rwd
tacoma,toyota,truck,6 cylinders,mid-size,rwd
silverado 1500,chevrolet,truck,8 cylinders,mid-size,4wd
challenger,dodge,coupe,6 cylinders,mid-size,rwd
odyssey,honda,van,10 cylinders,full-size,4wd
f-250,ford,pickup,8 cylinders,full-size,4wd
x1,bmw,SUV,4 cylinders,full-size,4wd
cabriolet,volkswagen,convertible,4 cylinders,compact,fwd
f-150 xlt supercab 4x4,ford,pickup,8 cylinders,full-size,4wd
rav4,toyota,SUV,4 cylinders,full-size,fwd
genesis,hyundai,sedan,6 cylinders,full-size,rwd
pilot,honda,SUV,6 cylinders,mid-size,fwd
fit,honda,sedan,4 cylinders,full-size,fwd
crown victoria interceptor,ford,sedan,8 cylinders,full-size,rwd
escape titanium 4wd,ford,SUV,4 cylinders,full-size,4wd
camaro,chevrolet,coupe,8 cylinders,mid-size,4wd
benz e320,mercedes-benz,sedan,6 cylinders,mid-size,4wd
a6,audi,sedan,4 cylinders,full-size,fwd
sentra,nissan,sedan,4 cylinders,mid-size,fwd
yukon xl,gmc,SUV,8 cylinders,full-size,rwd
f-150,ford,truck,6 cylinders,full-size,4wd
avalanche 1500,chevrolet,SUV,8 cylinders,full-size,rwd
1500 classic,ram,truck,8 cylinders,mid-size,4wd
explorer xlt 4x4,ford,SUV,6 cylinders,mid-size,4wd
safari cargo,gmc,van,6 cylinders,mid-size,rwd
patriot sport,jeep,SUV,4 cylinders,mid-size,4wd
corvette,chevrolet,coupe,8 cylinders,mid-size,rwd
645ci,bmw,convertible,8 cylinders,mid-size,rwd
sentra,nissan,sedan,6 cylinders,mid-size,rwd
5500,ram,truck,6 cylinders,full-size,4wd
odyssey ex-l,honda,van,6 cylinders,full-size,fwd
charger,dodge,sedan,6 cylinders,mid-size,rwd
gs 350,lexus,sedan,6 cylinders,mid-size,rwd
frontier crew cab,nissan,pickup,6 cylinders,mid-size,4wd
compass latitude,jeep,SUV,4 cylinders,mid-size,4wd
f250 xlt crew 4x4 diesel,ford,pickup,8 cylinders,full-size,4wd
corornet,dodge,coupe,8 cylinders,full-size,rwd
topkick c7500 boom truck,gmc,truck,8 cylinders,full-size,rwd
enclave,buick,SUV,6 cylinders,mid-size,4wd
